country,year,series_code,indicator,value,source_dataset
Ghana,2029,GHA.NGDP_RPCH.A,Real GDP growth (%),5.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.BCA_NGDPD.A,Current account balance (% of GDP),-0.076,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.TX_RPCH.A,Exports of goods and services volume growth (%),3.356,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.GGX_NGDP.A,General government expenditure (% of GDP),19.613,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.GGXWDG_NGDP.A,General government gross debt (% of GDP),47.581,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.GGR_NGDP.A,General government revenue (% of GDP),17.1,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.NID_NGDP.A,Gross capital formation (% of GDP),17.134,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.NGSD_NGDP.A,Gross national savings (% of GDP),17.42,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.TM_RPCH.A,Imports of goods and services volume growth (%),4.573,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.PCPIPCH.A,"Inflation, average CPI (%)",8.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.PCPIEPCH.A,"Inflation, end-of-period CPI (%)",8.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.NGDPD.A,Nominal GDP (US$ billions),135.908,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.GGXCNL_NGDP.A,Overall fiscal balance (% of GDP),-2.513,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.GGXONLB_NGDP.A,Primary fiscal balance (% of GDP),1.0,IMF WEO 9.0.0 (via repository WEO.csv)
Ghana,2030,GHA.NGDP_RPCH.A,Real GDP growth (%),5.0,IMF WEO 9.0.0 (via repository WEO.csv)
